text,label
"Urgent: Your account has been compromised. Please click here to verify your identity immediately: http://secure-verify-account.com",1
"Dear customer, we noticed suspicious activity on your bank account. Log in now to prevent suspension: http://bank-secure-login.net",1
"Congratulations! You have won a $1000 gift card. Claim it now at http://giftcard-winner.xyz",1
"Your PayPal account is limited. Please update your billing information to restore access: http://paypal-support-center.com",1
"Immediate Action Required: Your Netflix subscription has expired. Update payment method: http://netflix-payment-update.com",1
"Security Warning: Someone tried to log into your Gmail account from Russia. If this wasn't you, secure your account here: http://gmail-security-check.com",1
"Your Amazon order #12345 has been delayed. Click here to track your package: http://amazon-tracking-update.info",1
"Notice: Your credit card is about to expire. Renew it now at our secure portal: http://card-renewal-portal.com",1
"Action Required: Unusual login attempt detected on your iCloud account. Verify now: http://icloud-verify-id.net",1
"Urgent: Your tax refund is ready for collection. Provide your details here: http://tax-refund-claim.com",1
"Hi team, please find the meeting notes from yesterday attached to this email.",0
"Can we reschedule our lunch to 1 PM tomorrow? Let me know if that works.",0
"The report for Q3 is almost done. I will send it over by EOD Friday.",0
"Thanks for the great presentation today! The client was really impressed.",0
"Just checking in to see if you had a chance to review the proposal I sent last week.",0
"I'm running 5 minutes late for the meeting, sorry! See you soon.",0
"Happy Birthday! Hope you have a fantastic day and a great year ahead.",0
"Do you have any recommendations for a good laptop for video editing?",0
"Please let me know if you are available for a quick call this afternoon.",0
"The updated project timeline is now available on the shared drive.",0
"Your appointment is confirmed for next Tuesday at 10:00 AM.",0
"I've attached the revised contract for your review. Please sign and return.",0
"Let's discuss the budget during our 1:1 tomorrow morning.",0
"Welcome to the team! We are excited to have you on board.",0
"I noticed a small typo on page 4 of the document, I've fixed it.",0
"Can you send me the link to the Zoom meeting for tomorrow?",0
"The weather is looking great for the company picnic this weekend!",0
"I'll be out of the office on Monday for a personal matter.",0
"Thank you for your help with the client onboarding process.",0
"Could you please share the slides from the training session?",0
